"NUMERO";"LAMBX";"LAMBY";"DATE";"SWI_UNIF_MENS"
9767;1184725;6150391;200608;0,214
9767;1184725;6150391;200609;0,225
9767;1184725;6150391;200610;0,313
9767;1184725;6150391;200611;0,299
9767;1184725;6150391;200612;0,63
9767;1184725;6150391;200701;0,765
9767;1184725;6150391;200702;0,999
9767;1184725;6150391;200703;0,946
9767;1184725;6150391;200704;0,917
9767;1184725;6150391;200705;0,727
9767;1184725;6150391;200706;0,729
9767;1184725;6150391;200707;0,287
9767;1184725;6150391;200708;0,105
9767;1184725;6150391;200709;0,038
9767;1184725;6150391;200710;0,286
9767;1184725;6150391;200711;0,973
9767;1184725;6150391;200712;1,102
9767;1184725;6150391;200801;1,14
9767;1184725;6150391;200802;0,938
9767;1184725;6150391;200803;0,977
9767;1184725;6150391;200804;1,038
9767;1184725;6150391;200805;1,004
9767;1184725;6150391;200806;0,873
9767;1184725;6150391;200807;0,318
9767;1184725;6150391;200808;0,108
9767;1184725;6150391;200809;0,026
9767;1184725;6150391;200810;0,112
9767;1184725;6150391;200811;0,972
9767;1184725;6150391;200812;1,134
9767;1184725;6150391;200901;1,03
9767;1184725;6150391;200902;1,067
9767;1184725;6150391;200903;1,115
9767;1184725;6150391;200904;1,077
9767;1184725;6150391;200905;0,783
9767;1184725;6150391;200906;0,398
9767;1184725;6150391;200907;0,178
9767;1184725;6150391;200908;0,018
9767;1184725;6150391;200909;0,078
9767;1184725;6150391;200910;0,2
9767;1184725;6150391;200911;0,472
9767;1184725;6150391;200912;0,825
9767;1184725;6150391;201001;1,129
9767;1184725;6150391;201002;1,122
9767;1184725;6150391;201003;1,106
9767;1184725;6150391;201004;0,968
9767;1184725;6150391;201005;1,023
9767;1184725;6150391;201006;0,738
9767;1184725;6150391;201007;0,364
9767;1184725;6150391;201008;0,148
9767;1184725;6150391;201009;0,055
9767;1184725;6150391;201010;0,386
9767;1184725;6150391;201011;1,023
9767;1184725;6150391;201012;1,104
9767;1184725;6150391;201101;0,972
9767;1184725;6150391;201102;1,03
9767;1184725;6150391;201103;1,098
9767;1184725;6150391;201104;0,857
9767;1184725;6150391;201105;0,672
9767;1184725;6150391;201106;0,456
9767;1184725;6150391;201107;0,2
9767;1184725;6150391;201108;0,056
9767;1184725;6150391;201109;0,012
9767;1184725;6150391;201110;0,005
9767;1184725;6150391;201111;0,792
9767;1184725;6150391;201112;1,001
9767;1184725;6150391;201201;0,986
9767;1184725;6150391;201202;0,928
9767;1184725;6150391;201203;0,999
9767;1184725;6150391;201204;0,975
9767;1184725;6150391;201205;0,968
9767;1184725;6150391;201206;0,584
9767;1184725;6150391;201207;0,2
9767;1184725;6150391;201208;0,028
9767;1184725;6150391;201209;0,271
9767;1184725;6150391;201210;0,322
9767;1184725;6150391;201211;0,899
9767;1184725;6150391;201212;1,074
9767;1184725;6150391;201301;1,055
9767;1184725;6150391;201302;0,989
9767;1184725;6150391;201303;1,201
9767;1184725;6150391;201304;1,037
9767;1184725;6150391;201305;0,915
9767;1184725;6150391;201306;0,703
9767;1184725;6150391;201307;0,423
9767;1184725;6150391;201308;0,234
9767;1184725;6150391;201309;0,128
9767;1184725;6150391;201310;0,244
9767;1184725;6150391;201311;0,751
9767;1184725;6150391;201312;1,048
9767;1184725;6150391;201401;1,101
9767;1184725;6150391;201402;1,107
9767;1184725;6150391;201403;1,045
9767;1184725;6150391;201404;0,994
9767;1184725;6150391;201405;0,698
9767;1184725;6150391;201406;0,494
9767;1184725;6150391;201407;0,321
9767;1184725;6150391;201408;0,117
9767;1184725;6150391;201409;0,008
9767;1184725;6150391;201410;-0,011
9767;1184725;6150391;201411;0,434
9767;1184725;6150391;201412;1,047
9767;1184725;6150391;201501;1,009
9767;1184725;6150391;201502;1,042
9767;1184725;6150391;201503;1,194
9767;1184725;6150391;201504;1,042
9767;1184725;6150391;201505;0,696
9767;1184725;6150391;201506;0,408
9767;1184725;6150391;201507;0,172
9767;1184725;6150391;201508;0,043
9767;1184725;6150391;201509;-0,017
9767;1184725;6150391;201510;0,802
9767;1184725;6150391;201511;0,861
9767;1184725;6150391;201512;0,942
9767;1184725;6150391;201601;1,104
9767;1184725;6150391;201602;1,11
9767;1184725;6150391;201603;1,122
9767;1184725;6150391;201604;0,821
9767;1184725;6150391;201605;0,707
9767;1184725;6150391;201606;0,517
9767;1184725;6150391;201607;0,194
9767;1184725;6150391;201608;0,042
9767;1184725;6150391;201609;0,101
9767;1184725;6150391;201610;0,273
9767;1184725;6150391;201611;0,764
9767;1184725;6150391;201612;1,069
9767;1184725;6150391;201701;1,044
9767;1184725;6150391;201702;1,155
9767;1184725;6150391;201703;1,162
9767;1184725;6150391;201704;0,842
9767;1184725;6150391;201705;0,577
9767;1184725;6150391;201706;0,253
9767;1184725;6150391;201707;0,109
9767;1184725;6150391;201708;-0,018
9767;1184725;6150391;201709;0,042
9767;1184725;6150391;201710;-0,003
9767;1184725;6150391;201711;0,273
9767;1184725;6150391;201712;0,926
9767;1184725;6150391;201801;1,122
9767;1184725;6150391;201802;1,037
9767;1184725;6150391;201803;1,194
9767;1184725;6150391;201804;1,04
9767;1184725;6150391;201805;1,004
9767;1184725;6150391;201806;0,774
9767;1184725;6150391;201807;0,407
9767;1184725;6150391;201808;0,188
9767;1184725;6150391;201809;0,102
9767;1184725;6150391;201810;0,336
9767;1184725;6150391;201811;1,069
9767;1184725;6150391;201812;1,042
9767;1184725;6150391;201901;0,912
9767;1184725;6150391;201902;1,099
9767;1184725;6150391;201903;0,857
9767;1184725;6150391;201904;0,831
9767;1184725;6150391;201905;0,965
9767;1184725;6150391;201906;0,59
9767;1184725;6150391;201907;0,269
9767;1184725;6150391;201908;0,154
9767;1184725;6150391;201909;0,104
9767;1184725;6150391;201910;0,138
9767;1184725;6150391;201911;1,03
9767;1184725;6150391;201912;1,127
9767;1184725;6150391;202001;0,995
9767;1184725;6150391;202002;0,928
9767;1184725;6150391;202003;1,025
9767;1184725;6150391;202004;0,941
9767;1184725;6150391;202005;0,918
9767;1184725;6150391;202006;0,665
9767;1184725;6150391;202007;0,25
9767;1184725;6150391;202008;0,079
9767;1184725;6150391;202009;0,131
9767;1184725;6150391;202010;0,795
9767;1184725;6150391;202011;0,873
9767;1184725;6150391;202012;1,135
9767;1184725;6150391;202101;1,083
9767;1184725;6150391;202102;1,196
9767;1184725;6150391;202103;1,036
9767;1184725;6150391;202104;0,858
9767;1184725;6150391;202105;0,841
9767;1184725;6150391;202106;0,489
9767;1184725;6150391;202107;0,182
9767;1184725;6150391;202108;0,029
9767;1184725;6150391;202109;0,004
9767;1184725;6150391;202110;0,051
9767;1184725;6150391;202111;0,751
9767;1184725;6150391;202112;1,127
9767;1184725;6150391;202201;0,996
9767;1184725;6150391;202202;0,98
9767;1184725;6150391;202203;0,885
9767;1184725;6150391;202204;0,971
9767;1184725;6150391;202205;0,832
9767;1184725;6150391;202206;0,294
9767;1184725;6150391;202207;0,089
9767;1184725;6150391;202208;0,025
9767;1184725;6150391;202209;0,027
9767;1184725;6150391;202210;0,186
9767;1184725;6150391;202211;0,434
9767;1184725;6150391;202212;1,054
9767;1184725;6150391;202301;1,066
9767;1184725;6150391;202302;1,01
9767;1184725;6150391;202303;1,066
9767;1184725;6150391;202304;0,883
9767;1184725;6150391;202305;0,878
9767;1184725;6150391;202306;0,884
9767;1184725;6150391;202307;0,361
9767;1184725;6150391;202308;0,149
9767;1184725;6150391;202309;0,173
9767;1184725;6150391;202310;0,214
9767;1184725;6150391;202311;1,073
9767;1184725;6150391;202312;1,056
9767;1184725;6150391;202401;0,977
9767;1184725;6150391;202402;0,982
9767;1184725;6150391;202403;1,086
9767;1184725;6150391;202404;0,911
9767;1184725;6150391;202405;0,904
9767;1184725;6150391;202406;0,509
9767;1184725;6150391;202407;0,197
9767;1184725;6150391;202408;0,068
9767;1184725;6150391;202409;0,197
9767;1184725;6150391;202410;0,663
9767;1184725;6150391;202411;0,924
9767;1184725;6150391;202412;1,055
9768;1192715;6150321;196001;0,997
9768;1192715;6150321;196002;1,115
9768;1192715;6150321;196003;1,179
9768;1192715;6150321;196004;1,038
9768;1192715;6150321;196005;0,817
9768;1192715;6150321;196006;0,401
9768;1192715;6150321;196007;0,161
9768;1192715;6150321;196008;0,028
9768;1192715;6150321;196009;0,057
9768;1192715;6150321;196010;0,691
9768;1192715;6150321;196011;1,091
9768;1192715;6150321;196012;1,126
9768;1192715;6150321;196101;1,115
9768;1192715;6150321;196102;1,09
9768;1192715;6150321;196103;0,982
9768;1192715;6150321;196104;0,815
9768;1192715;6150321;196105;0,742
9768;1192715;6150321;196106;0,486
9768;1192715;6150321;196107;0,166
9768;1192715;6150321;196108;0,004
9768;1192715;6150321;196109;-0,041
9768;1192715;6150321;196110;0,339
9768;1192715;6150321;196111;0,822
9768;1192715;6150321;196112;1,028
9768;1192715;6150321;196201;1,044
9768;1192715;6150321;196202;1,06
9768;1192715;6150321;196203;1,116
9768;1192715;6150321;196204;1,006
9768;1192715;6150321;196205;0,799
9768;1192715;6150321;196206;0,528
9768;1192715;6150321;196207;0,202
9768;1192715;6150321;196208;0,018
9768;1192715;6150321;196209;-0,002
9768;1192715;6150321;196210;0,094
9768;1192715;6150321;196211;0,746
9768;1192715;6150321;196212;1,003
9768;1192715;6150321;196301;1,177
9768;1192715;6150321;196302;1,106
9768;1192715;6150321;196303;1,178
9768;1192715;6150321;196304;1,217
9768;1192715;6150321;196305;0,822
9768;1192715;6150321;196306;0,555
9768;1192715;6150321;196307;0,249
9768;1192715;6150321;196308;0,175
9768;1192715;6150321;196309;0,152
9768;1192715;6150321;196310;0,167
9768;1192715;6150321;196311;0,483
9768;1192715;6150321;196312;0,868
9768;1192715;6150321;196401;0,925
9768;1192715;6150321;196402;1,006
9768;1192715;6150321;196403;1,128
9768;1192715;6150321;196404;0,997
9768;1192715;6150321;196405;0,61
9768;1192715;6150321;196406;0,291
9768;1192715;6150321;196407;0,108
9768;1192715;6150321;196408;0,023
9768;1192715;6150321;196409;-0,008
9768;1192715;6150321;196410;0,582
9768;1192715;6150321;196411;1,016
9768;1192715;6150321;196412;1,079
9768;1192715;6150321;196501;1,083
9768;1192715;6150321;196502;1,044
9768;1192715;6150321;196503;1,176
9768;1192715;6150321;196504;1,015
9768;1192715;6150321;196505;0,712
9768;1192715;6150321;196506;0,452
9768;1192715;6150321;196507;0,157
9768;1192715;6150321;196508;0,021
9768;1192715;6150321;196509;0,215
9768;1192715;6150321;196510;0,758
9768;1192715;6150321;196511;1,032
9768;1192715;6150321;196512;1,13
9768;1192715;6150321;196601;1,121
9768;1192715;6150321;196602;1,118
9768;1192715;6150321;196603;0,997
9768;1192715;6150321;196604;1,041
9768;1192715;6150321;196605;0,857
9768;1192715;6150321;196606;0,469
9768;1192715;6150321;196607;0,22
9768;1192715;6150321;196608;0,111
9768;1192715;6150321;196609;0,122
9768;1192715;6150321;196610;0,518
9768;1192715;6150321;196611;1,057
9768;1192715;6150321;196612;1,062
9768;1192715;6150321;196701;0,938
9768;1192715;6150321;196702;1,058
9768;1192715;6150321;196703;1,13
9768;1192715;6150321;196704;0,852
9768;1192715;6150321;196705;0,673
9768;1192715;6150321;196706;0,438
9768;1192715;6150321;196707;0,173
9768;1192715;6150321;196708;0,019
9768;1192715;6150321;196709;0,047
9768;1192715;6150321;196710;0,015
9768;1192715;6150321;196711;0,398
9768;1192715;6150321;196712;0,68
9768;1192715;6150321;196801;0,905
9768;1192715;6150321;196802;1,11
9768;1192715;6150321;196803;1,068
9768;1192715;6150321;196804;0,911
9768;1192715;6150321;196805;0,714
9768;1192715;6150321;196806;0,553
9768;1192715;6150321;196807;0,23
9768;1192715;6150321;196808;0,095
9768;1192715;6150321;196809;0,062
9768;1192715;6150321;196810;0,032
9768;1192715;6150321;196811;0,402
9768;1192715;6150321;196812;1,003
9768;1192715;6150321;196901;1,081
9768;1192715;6150321;196902;1,043
9768;1192715;6150321;196903;1,211
9768;1192715;6150321;196904;1,003
9768;1192715;6150321;196905;0,858
9768;1192715;6150321;196906;0,557
9768;1192715;6150321;196907;0,26
9768;1192715;6150321;196908;0,086
